,Column Names,Column Values
175,Competence,Data/IT
176,Publication date,22 Feb 2023
177,Country,Sweden
178,City,Alingsas
179,Application deadline,5 Apr 2023
180,Role,Backend Developer
181,Competence,Data/IT
182,Publication date,22 Feb 2023
183,Country,Sweden
184,City,Gothenburg
185,Application deadline,5 Apr 2023
186,Role,Software Engineer
187,Competence,Data/IT
188,Publication date,22 Feb 2023
189,Country,Sweden
190,City,Gothenburg
191,Application deadline,5 Apr 2023
192,Role,System Architect
193,Competence,Data/IT
194,Publication date,22 Feb 2023
195,Country,Sweden
196,City,Alingsas
197,Application deadline,5 Apr 2023
198,Role,System Developer
199,Competence,Data/IT
200,Publication date,22 Feb 2023
201,Country,Sweden
202,City,Lidkoping
203,Application deadline,5 Apr 2023
204,Role,R&D Consultant
205,Competence,Data/IT
206,Publication date,21 Feb 2023
207,Country,Sweden
208,City,Gothenburg
209,Application deadline,21 Mar 2023
210,Role,IT support
211,Competence,Data/IT
212,Publication date,21 Feb 2023
213,Country,Sweden
214,City,Stockholm
215,Application deadline,21 Mar 2023
216,Role,Tester
217,Competence,Data/IT
218,Publication date,21 Feb 2023
219,Country,Sweden
220,City,Gothenburg
221,Application deadline,21 Mar 2023
222,Role,Scrum Master
223,Competence,Data/IT
224,Publication date,20 Feb 2023
225,Country,Sweden
226,City,Gothenburg
227,Application deadline,5 Apr 2023
228,Role,IT Consultant
229,Competence,Data/IT
230,Publication date,17 Feb 2023
231,Country,Sweden
232,City,Gotland
233,Application deadline,13 Apr 2023
234,Role,IT support
235,Competence,Data/IT
236,Publication date,17 Feb 2023
237,Country,Sweden
238,City,Stockholm
239,Application deadline,22 Mar 2023
240,Role,IT Project Manager
241,Competence,Data/IT
242,Publication date,15 Feb 2023
243,Country,Sweden
244,City,Helsingborg
245,Application deadline,30 Apr 2023
246,Role,IT Project Manager
247,Competence,Data/IT
248,Publication date,15 Feb 2023
249,Country,Sweden
250,City,Malmo
251,Application deadline,30 Apr 2023
252,Role,IT Consultant
253,Competence,Data/IT
254,Publication date,20 Jan 2023
255,Country,Sweden
256,City,Gothenburg
257,Application deadline,28 Mar 2023
258,Role,Software Engineer
259,Competence,Data/IT
260,Publication date,11 Jan 2023
261,Country,India
262,City,Bangalore
263,Application deadline,30 Apr 2023
264,Role,Backend Developer
265,Competence,Data/IT
266,Publication date,11 Jan 2023
267,Country,Sweden
268,City,Vasteras
269,Application deadline,31 Mar 2023
270,Role,IT Project Manager
271,Competence,Data/IT
272,Publication date,3 Jan 2023
273,Country,Sweden
274,City,Karlskrona
275,Application deadline,4 Apr 2023
276,Role,Scrum Master
277,Competence,Data/IT
278,Publication date,3 Jan 2023
279,Country,Sweden
280,City,Karlskrona
281,Application deadline,4 Apr 2023
282,Role,Backend Developer
283,Competence,Data/IT
284,Publication date,3 Jan 2023
285,Country,Sweden
286,City,Malmo
287,Application deadline,4 Apr 2023
288,Role,IT Project Manager
289,Competence,Data/IT
290,Publication date,3 Jan 2023
291,Country,Sweden
292,City,Karlskrona
293,Application deadline,4 Apr 2023
294,Role,Tester
295,Competence,Data/IT
296,Publication date,3 Jan 2023
297,Country,Sweden
298,City,Malmo
299,Application deadline,4 Apr 2023
300,Role,IT Consultant
301,Competence,Data/IT
302,Publication date,8 Dec 2022
303,Country,Sweden
304,City,Malmo
305,Application deadline,22 Mar 2023
306,Role,IT Consultant
307,Competence,Data/IT
308,Publication date,8 Dec 2022
309,Country,Sweden
310,City,Helsingborg
311,Application deadline,22 Mar 2023
